Vandportalen - www.vandportalen.dk
Lokalitet:;38.05 Ribe å, Kammerslusen indvendig
Tidsserie:;Vandstand
Drives af Esbjerg Kommune
Dataperiode:;19-01-2025 00:00 - 21-01-2025 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote:;-0.07 m DVR90
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;20-01-2025 14:28

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand (m DVR90);ks mrk.
20-01-2025 06:25;0.356;0
20-01-2025 06:30;0.365;0
20-01-2025 06:35;0.373;0
20-01-2025 06:40;0.381;0
20-01-2025 06:45;0.389;0
20-01-2025 06:50;0.398;0
20-01-2025 06:55;0.406;0
20-01-2025 07:00;0.414;0
20-01-2025 07:05;0.422;0
20-01-2025 07:10;0.430;0
20-01-2025 07:15;0.438;0
20-01-2025 07:20;0.445;0
20-01-2025 07:25;0.453;0
20-01-2025 07:30;0.460;0
20-01-2025 07:35;0.467;0
20-01-2025 07:40;0.475;0
20-01-2025 07:45;0.481;0
20-01-2025 07:50;0.485;0
20-01-2025 07:55;0.494;0
20-01-2025 08:00;0.499;0
20-01-2025 08:05;0.506;0
20-01-2025 08:10;0.514;0
20-01-2025 08:15;0.519;0
20-01-2025 08:20;0.526;0
20-01-2025 08:25;0.532;0
20-01-2025 08:30;0.537;0
20-01-2025 08:35;0.545;0
20-01-2025 08:40;0.550;0
20-01-2025 08:45;0.556;0
20-01-2025 08:50;0.549;0
20-01-2025 08:55;0.535;0
20-01-2025 09:00;0.519;0
20-01-2025 09:05;0.503;0
20-01-2025 09:10;0.485;0
20-01-2025 09:15;0.467;0
20-01-2025 09:20;0.446;0
20-01-2025 09:25;0.422;0
20-01-2025 09:30;0.401;0
20-01-2025 09:35;0.380;0
20-01-2025 09:40;0.357;0
20-01-2025 09:45;0.333;0
20-01-2025 09:50;0.314;0
20-01-2025 09:55;0.294;0
20-01-2025 10:00;0.269;0
20-01-2025 10:05;0.246;0
20-01-2025 10:10;0.223;0
20-01-2025 10:15;0.201;0
20-01-2025 10:20;0.174;0
20-01-2025 10:25;0.152;0
20-01-2025 10:30;0.130;0
20-01-2025 10:35;0.108;0
20-01-2025 10:40;0.086;0
20-01-2025 10:45;0.061;0
20-01-2025 10:50;0.047;0
20-01-2025 10:55;0.030;0
20-01-2025 11:00;0.010;0
20-01-2025 11:05;-0.009;0
20-01-2025 11:10;-0.027;0
20-01-2025 11:15;-0.042;0
20-01-2025 11:20;-0.063;0
20-01-2025 11:25;-0.080;0
20-01-2025 11:30;-0.101;0
20-01-2025 11:35;-0.116;0
20-01-2025 11:40;-0.136;0
20-01-2025 11:45;-0.150;0
20-01-2025 11:50;-0.166;0
20-01-2025 11:55;-0.183;0
20-01-2025 12:00;-0.200;0
20-01-2025 12:05;-0.216;0
20-01-2025 12:10;-0.228;0
20-01-2025 12:15;-0.246;0
20-01-2025 12:20;-0.257;0
20-01-2025 12:25;-0.274;0
20-01-2025 12:30;-0.289;0
20-01-2025 12:35;-0.299;0
20-01-2025 12:40;-0.310;0
20-01-2025 12:45;-0.321;0
20-01-2025 12:50;-0.337;0
20-01-2025 12:55;-0.347;0
20-01-2025 13:00;-0.356;0
20-01-2025 13:05;-0.370;0
20-01-2025 13:10;-0.381;0
20-01-2025 13:15;-0.392;0
20-01-2025 13:20;-0.403;0
20-01-2025 13:25;-0.412;0
